run_label,bins,bin_width_ticks,bin_width_us,dt_min,dt_max,V10_min,V11_min,n_candidate,n_fit_bins,ndf,tau_us,tau_us_err,chi2,reduced_chi2
DiRPi29 Run4325 DiRPi33 Run43 DiRPi34 Run33,20,25.0,0.625,50,500,30,30,2147,18,15,2.034074992566571,0.07711191287158575,24.779164608747394,1.6519443072498263
DiRPi29 Run4326 DiRPi33 Run44 DiRPi34 Run34,20,25.0,0.625,50,500,30,30,2071,18,15,1.9864193243966728,0.07333164342477404,8.625764544252377,0.5750509696168251
DiRPi29 Run4327 DiRPi33 Run45 DiRPi34 Run35,20,25.0,0.625,50,500,30,30,1154,18,15,2.0308190228321115,0.10146820705646079,14.21248722574524,0.9474991483830161
DiRPi35 Run36 DiRPi29 Run4351 DiRPi33 Run64,20,25.0,0.625,50,500,30,30,249,15,12,2.3280408258291763,0.30052175044659735,8.76829962463611,0.7306916353863425
DiRPi35 Run37 DiRPi29 Run4352 DiRPi33 Run65,20,25.0,0.625,50,500,30,30,62,12,9,1.475479465198952,0.40982368461708535,4.1971064471321196,0.46634516079245775
DiRPi35 Run39 DiRPi29 Run4353 DiRPi33 Run66,20,25.0,0.625,50,500,30,30,258,16,13,1.8553682237851306,0.18655189990572543,12.298995082517669,0.9460765448090515
DiRPi29 Run4325 DiRPi33 Run43 DiRPi34 Run33,20,25.0,0.625,75,500,30,30,1606,17,14,2.0282832625091927,0.09770658799840476,24.771259835350257,1.7693757025250183
DiRPi29 Run4326 DiRPi33 Run44 DiRPi34 Run34,20,25.0,0.625,75,500,30,30,1525,17,14,2.002248949254925,0.09332276921815097,8.543170575583382,0.6102264696845273
DiRPi29 Run4327 DiRPi33 Run45 DiRPi34 Run35,20,25.0,0.625,75,500,30,30,859,17,14,2.013922073264107,0.12498678864936802,14.15498913722011,1.0110706526585793
DiRPi35 Run36 DiRPi29 Run4351 DiRPi33 Run64,20,25.0,0.625,75,500,30,30,192,14,11,2.287086373831568,0.36498823321219315,8.735533512565555,0.7941394102332322
DiRPi35 Run37 DiRPi29 Run4352 DiRPi33 Run65,20,25.0,0.625,75,500,30,30,45,11,8,1.3531578359764227,0.4832066304559126,3.9863592173626956,0.49829490217033695
DiRPi35 Run39 DiRPi29 Run4353 DiRPi33 Run66,20,25.0,0.625,75,500,30,30,191,15,12,1.7919092922875235,0.217624854685468,11.958551157582825,0.9965459297985687
DiRPi29 Run4325 DiRPi33 Run43 DiRPi34 Run33,20,25.0,0.625,100,500,30,30,1171,16,13,2.230853115835806,0.14604223279003556,19.001261060024067,1.4616354661556974
DiRPi29 Run4326 DiRPi33 Run44 DiRPi34 Run34,20,25.0,0.625,100,500,30,30,1146,16,13,1.917575781052891,0.11100294709381675,7.197595102678372,0.5536611617444902
DiRPi29 Run4327 DiRPi33 Run45 DiRPi34 Run35,20,25.0,0.625,100,500,30,30,651,16,13,1.8856087001779074,0.14307939280731494,12.143068726952352,0.9340822097655656
DiRPi35 Run36 DiRPi29 Run4351 DiRPi33 Run64,20,25.0,0.625,100,500,30,30,145,13,10,2.3717830061120444,0.49357676051038885,8.552481679307109,0.8552481679307109
DiRPi35 Run37 DiRPi29 Run4352 DiRPi33 Run65,20,25.0,0.625,100,500,30,30,33,10,7,1.1849218011825076,0.53441196425191,3.65808074972292,0.5225829642461315
DiRPi35 Run39 DiRPi29 Run4353 DiRPi33 Run66,20,25.0,0.625,100,500,30,30,149,14,11,1.3924012186347685,0.19079470282581557,4.022240049447399,0.3656581863133999
DiRPi29 Run4325 DiRPi33 Run43 DiRPi34 Run33,25,20.0,0.5,60,500,30,30,1900,22,19,2.015346582003163,0.08360330128695541,24.772574862145568,1.3038197295866087
DiRPi29 Run4326 DiRPi33 Run44 DiRPi34 Run34,25,20.0,0.5,60,500,30,30,1855,22,19,1.9713799217255206,0.07738977811442929,19.884100721084252,1.0465316168991712
DiRPi29 Run4327 DiRPi33 Run45 DiRPi34 Run35,25,20.0,0.5,60,500,30,30,1035,22,19,1.9917415141335937,0.10373371726697962,27.826995909075546,1.4645787320566077
DiRPi35 Run36 DiRPi29 Run4351 DiRPi33 Run64,25,20.0,0.5,60,500,30,30,222,18,15,2.2710489651774015,0.33083223928195826,12.087158025536546,0.8058105350357697
DiRPi35 Run37 DiRPi29 Run4352 DiRPi33 Run65,25,20.0,0.5,60,500,30,30,56,13,10,1.3672895268961933,0.45060087854566855,4.040357094016944,0.40403570940169437
DiRPi35 Run39 DiRPi29 Run4353 DiRPi33 Run66,25,20.0,0.5,60,500,30,30,233,18,15,1.568183291083498,0.1660185984423299,23.10563155867192,1.5403754372447946
DiRPi29 Run4325 DiRPi33 Run43 DiRPi34 Run33,25,20.0,0.5,80,500,30,30,1500,21,18,2.036779611904389,0.10343335870998858,24.655545242160976,1.3697525134533874
DiRPi29 Run4326 DiRPi33 Run44 DiRPi34 Run34,25,20.0,0.5,80,500,30,30,1442,21,18,2.013991859587266,0.09649902805049004,19.228718331859437,1.0682621295477466
DiRPi29 Run4327 DiRPi33 Run45 DiRPi34 Run35,25,20.0,0.5,80,500,30,30,803,21,18,2.014664773504546,0.12634316652368555,27.42123709550473,1.5234020608613739
DiRPi35 Run36 DiRPi29 Run4351 DiRPi33 Run64,25,20.0,0.5,80,500,30,30,180,17,14,2.2553854883766244,0.3892510913198761,12.080612677143106,0.8629009055102219
DiRPi35 Run37 DiRPi29 Run4352 DiRPi33 Run65,25,20.0,0.5,80,500,30,30,42,12,9,1.3856620994325364,0.5917417529735643,4.035921162841881,0.44843568476020906
DiRPi35 Run39 DiRPi29 Run4353 DiRPi33 Run66,25,20.0,0.5,80,500,30,30,183,17,14,1.4657858380207343,0.17961879049323226,21.668309264787215,1.5477363760562297
DiRPi29 Run4325 DiRPi33 Run43 DiRPi34 Run33,25,20.0,0.5,100,500,30,30,1171,20,17,2.1726484654783587,0.14033519300441102,21.637007719032407,1.2727651599430827
DiRPi29 Run4326 DiRPi33 Run44 DiRPi34 Run34,25,20.0,0.5,100,500,30,30,1146,20,17,1.9624305188497844,0.11242946943086224,18.652833086563742,1.0972254756802202
DiRPi29 Run4327 DiRPi33 Run45 DiRPi34 Run35,25,20.0,0.5,100,500,30,30,651,20,17,1.8646879210253484,0.13383408635284894,22.608153333444566,1.3298913725555628
DiRPi35 Run36 DiRPi29 Run4351 DiRPi33 Run64,25,20.0,0.5,100,500,30,30,145,16,13,2.2930873536862335,0.47612267263560804,12.050500070913317,0.9269615439164091
DiRPi35 Run37 DiRPi29 Run4352 DiRPi33 Run65,25,20.0,0.5,100,500,30,30,33,11,8,1.2683134831977263,0.6514569608837671,3.8858698773867673,0.4857337346733459
DiRPi35 Run39 DiRPi29 Run4353 DiRPi33 Run66,25,20.0,0.5,100,500,30,30,149,16,13,1.1280932119711244,0.15322929866498503,11.526871098345795,0.8866823921804458
DiRPi29 Run4325 DiRPi33 Run43 DiRPi34 Run33,50,10.0,0.25,50,500,30,30,2147,45,42,1.9850234865638297,0.07341479260533436,49.14022872627463,1.1700054458636817
DiRPi29 Run4326 DiRPi33 Run44 DiRPi34 Run34,50,10.0,0.25,50,500,30,30,2071,44,41,2.017904985556911,0.07272737737008043,48.57865171952443,1.1848451638908397
DiRPi29 Run4327 DiRPi33 Run45 DiRPi34 Run35,50,10.0,0.25,50,500,30,30,1154,43,40,2.02993019127415,0.10068281357833656,39.31318666411317,0.9828296666028292
DiRPi35 Run36 DiRPi29 Run4351 DiRPi33 Run64,50,10.0,0.25,50,500,30,30,249,32,29,1.8766679039187708,0.28776979284678167,22.694407129326002,0.782565763080207
DiRPi35 Run37 DiRPi29 Run4352 DiRPi33 Run65,50,10.0,0.25,50,500,30,30,62,20,17,1.3676620065522147,0.6754414667180111,8.169080869393097,0.48053416878782923
DiRPi35 Run39 DiRPi29 Run4353 DiRPi33 Run66,50,10.0,0.25,50,500,30,30,258,29,26,1.7735652161413897,0.2341826335536284,26.507855925660675,1.0195329202177184
DiRPi29 Run4325 DiRPi33 Run43 DiRPi34 Run33,50,10.0,0.25,60,500,30,30,1900,44,41,2.0046694404440077,0.08187592944330502,48.81717815764785,1.19066288189385
DiRPi29 Run4326 DiRPi33 Run44 DiRPi34 Run34,50,10.0,0.25,60,500,30,30,1855,43,40,1.9717966860603857,0.07681681890546832,46.65026363526447,1.1662565908816118
DiRPi29 Run4327 DiRPi33 Run45 DiRPi34 Run35,50,10.0,0.25,60,500,30,30,1035,42,39,1.984413819795163,0.10628996132481315,38.19473774732943,0.9793522499315238
